title,url,datePosted,hood,description,address
Lifestyle Sales Managers 2020,https://melbourne.craigslist.org/sls/d/lifestyle-sales-managers-2020/7080127255.html,2020-02-22 20:02, (Melbourne),Commission / Travel / Thailand Training,"

    



            compensation: Commission / Travel / Thailand Training
            




            employment type: employee's choice
            




            telecommuting okay
            

    
    "
Qualified Educators,https://melbourne.craigslist.org/edu/d/qualified-educators/7070037829.html,2020-02-22 19:32, (Melbourne),Direct Sales High Commission,"

    



            compensation: Direct Sales High Commission
            




            employment type: employee's choice
            




            telecommuting okay
            

    
    "
"Any school, college or uni students",https://melbourne.craigslist.org/csr/d/any-school-college-or-uni-students/7078129147.html,2020-02-22 13:27, (Melbourne),To be discussed,"

    



            compensation: To be discussed
            




            employment type: employee's choice
            

    
    "
Selling my netflix account,https://melbourne.craigslist.org/fbh/d/selling-my-netflix-account/7079466439.html,2020-02-21 22:32,,8$,"

    



            compensation: 8$
            




            employment type: part-time
            

    
    "
Two Guys Wanted to play Father & Son in Short Film - PAID!,https://melbourne.craigslist.org/etc/d/two-guys-wanted-to-play-father-son-in/7064977222.html,2020-02-21 19:03, (Melbourne),$250 for about 3 hours.,"

    



            compensation: $250 for about 3 hours.
            




            employment type: part-time
            

    
    "
Human footrest (Will pay),https://melbourne.craigslist.org/lab/d/human-footrest-will-pay/7079416401.html,2020-02-21 16:03, (Melbourne),50-75,"

    



            compensation: 50-75
            




            employment type: part-time
            

    
    "
looking for a dominant girl to degrade me for 100,https://melbourne.craigslist.org/etc/d/looking-for-dominant-girl-to-degrade-me/7079403946.html,2020-02-21 14:56, (Melbourne CBD),$100,"

    



            compensation: $100
            




            employment type: employee's choice
            

    
    "
Sensual massage at your home,https://melbourne.craigslist.org/fbh/d/sensual-massage-at-your-home/7078862849.html,2020-02-21 01:52, (Melbourne),40$,"

    



            compensation: 40$
            




            employment type: contract
            

    
    "
Admin clerk / store person,https://melbourne.craigslist.org/ofc/d/admin-clerk-store-person/7078120424.html,2020-02-19 15:58, (West Melbourne),64k plus super,"

    



            compensation: 64k plus super
            




            employment type: full-time
            

    
    "
Blokes Wanted for Part-time Massage Work - $100p/h - Training Provided,https://melbourne.craigslist.org/lab/d/blokes-wanted-for-part-time-massage/7077450687.html,2020-02-18 16:29, (Melbourne/Local),$100 per hour,"

    



            compensation: $100 per hour
            




            employment type: part-time
            

    
    "
Massage Work Available-No Experience Required,https://melbourne.craigslist.org/spa/d/massage-work-available-no-experience/7076795939.html,2020-02-17 18:56,,80-110,"

    



            compensation: 80-110
            




            employment type: part-time
            

    
    "
Amateur Female Model 18+ Required,https://melbourne.craigslist.org/tfr/d/amateur-female-model-18-required/7076372902.html,2020-02-17 03:05, (Melbourne),$800 plus,"

    



            compensation: $800 plus
            




            employment type: contract
            

    
    "
personal masseuse needed!,https://melbourne.craigslist.org/spa/d/personal-masseuse-needed/7076278266.html,2020-02-16 20:43, (footscray),400,"

    



            compensation: 400
            




            employment type: part-time
            

    
    "
get paid to use human toilet,https://melbourne.craigslist.org/tfr/d/get-paid-to-use-human-toilet/7075614106.html,2020-02-15 15:57, (Varies),negotiable,"

    



            compensation: negotiable
            




            employment type: part-time
            

    
    "
Wanted : 18+ female,https://melbourne.craigslist.org/tfr/d/wanted-18-female/7075608981.html,2020-02-15 15:42, (Melbourne),300 - 1000,"

    



            compensation: 300 - 1000
            




            employment type: employee's choice
            

    
    "
